Client ID,NUM_READS,NUM_WRITES,READ_WRITE_RATIO,Throughput,Latency,Error Rate
0,4831,4832,1.0002069964810598,22.4119737685762,0.04461900635463435,0.0
1,8346,927,0.11107117181883537,6.448909291622734,0.15506498149989806,0.0
2,4348,483,0.11108555657773689,7.415584401831001,0.13485113860386883,0.0
3,3383,3383,1.0,8.419788084943917,0.11620450019836426,0.02158273381294964
4,4274,4274,1.0,6.416548513915185,0.15584702552024035,0.0
5,63,570,9.047619047619047,5.675873850591933,0.1761843244447215,0.0
6,3327,3328,1.0003005710850617,5.827860384226665,0.16985340946641378,0.01011804384485666
7,4542,4542,1.0,6.340855475759881,0.15770742667497262,0.0
8,3594,399,0.11101836393989983,6.008193070288187,0.16619462791611167,0.0014705882352941176
9,2165,2164,0.9995381062355658,6.2421676539994655,0.15801222467683051,0.01366120218579235
10,324,2917,9.003086419753087,8.036675628182978,0.12430074940557065,0.0010351966873706005
11,532,59,0.11090225563909774,6.213853304269207,0.1609307383090221,0.0
12,679,679,1.0,6.664651599857174,0.15004535271152514,0.0
13,769,6916,8.993498049414825,6.1853573173825325,0.15908834596747132,0.01598173515981735
14,1198,1198,1.0,6.486158861392759,0.14434601577773307,0.06374881065651761
15,223,2011,9.01793721973094,5.538274741888066,0.16550073963297565,0.08341143392689784
16,2329,2330,1.0004293688278232,4.08393440782787,0.18364643628027902,0.25
17,567,5100,8.994708994708995,4.3989191038335616,0.1708408665347409,0.24848484848484848
18,675,6073,8.997037037037037,4.63487161787094,0.15159464614668142,0.2973782771535581
19,2918,2918,1.0,4.482280825170354,0.15738620972247117,0.29455081001472755
20,2863,2863,1.0,6.058731443099126,0.15298557433784218,0.07310149041873669
21,105,946,9.00952380952381,5.247718681683056,0.17718121879000373,0.07020280811232449
22,907,8166,9.003307607497243,5.787676249082738,0.15978359320477997,0.07522429261559696
23,505,4546,9.001980198019801,4.926165429668725,0.13038306698870303,0.35771144278606964
24,6493,722,0.11119667334052057,7.594276955542483,0.12449123360954094,0.0545790934320074
25,192,1731,9.015625,3.554183869986939,0.15515977229929437,0.4485336400230017
26,617,5549,8.993517017828202,3.1697164929016757,0.1540514847541686,0.5117004680187207
27,966,8697,9.003105590062113,3.3477906164879756,0.13491172948476984,0.5483437779767234
28,1304,145,0.1111963190184049,3.171872438249823,0.16978850710991375,0.46145251396648046
29,2463,274,0.11124644742184328,3.1308529093492163,0.14078315482214024,0.559228650137741
30,772,6945,8.996113989637307,3.853171594443481,0.15056001055419743,0.41986644407345575
31,3175,3176,1.0003149606299213,3.79284394344398,0.14043799770378956,0.46734059097978226
32,438,438,1.0,2.50124595883417,0.1610209931277043,0.5972468916518651
33,56,505,9.017857142857142,6.457508602872185,0.141817770599157,0.08421052631578947
34,667,668,1.0014992503748126,2.60034792110347,0.13913797246024928,0.6381928625664389
35,531,4774,8.990583804143126,6.295244818696803,0.14555935098343536,0.08366824990865912
36,218,1960,8.990825688073395,7.3020408295276775,0.1248155365755071,0.08859185576624184
37,536,536,1.0,3.510756222648201,0.15883638575213596,0.4423641703377386
38,263,2371,9.015209125475286,6.364954718032948,0.1439965218837945,0.0834686586554076
39,201,1809,9.0,2.05974636871019,0.14380648002989385,0.7037951249614317
40,225,2027,9.008888888888889,1.916475211137346,0.1328709922092741,0.7453560371517027
41,869,870,1.001150747986191,4.509962825257749,0.12023385877814056,0.45774976657329597
42,6594,733,0.11116166211707613,7.099666914022044,0.12921104370249026,0.08264462809917356
43,1946,216,0.11099691675231244,1.6421379305608994,0.13291545114082884,0.781734496124031
44,49,436,8.89795918367347,3.915042154369077,0.1326983207421535,0.4804804804804805
45,3686,410,0.1112316874660879,6.411524311618631,0.14207053231075406,0.089111328125
46,885,7969,9.0045197740113,1.82990424581342,0.12564032001970765,0.7700902449505801
47,514,4626,9.0,6.639505445757112,0.13713005456819394,0.08952425591750644
48,2910,2910,1.0,3.8896372366310077,0.13553130998776827,0.4728323699421965
49,602,5422,9.006644518272426,3.9997791718951414,0.13013167441671666,0.4795020390641769
50,59,534,9.05084745762712,7.24109973367057,0.12643734645310506,0.08445456427240737
51,3819,3820,1.0002618486514794,4.142089509728981,0.12721889277937107,0.47304795877923106
52,749,6741,9.0,1.4222528991022132,0.1282051390313885,0.8176598693328054
53,7601,844,0.11103802131298514,1.3402557278807705,0.12643501489542802,0.8305447470817121
54,2309,256,0.11087050671286271,4.448130110587467,0.1179969602492713,0.475134168157424
55,544,4897,9.001838235294118,4.940942338748121,0.10713856142536897,0.4706345457408282
56,388,3488,8.989690721649485,1.4298953230216953,0.1232843727625424,0.8237162519851774
57,7610,846,0.11116951379763469,4.291694184207336,0.12220112972645922,0.47555012224938875
58,69,626,9.072463768115941,1.1740848654653622,0.13325797650861246,0.8435438265786993
59,68,608,8.941176470588236,4.256177377887847,0.1228454989665972,0.4771477663230241
60,340,340,1.0,1.2981736517603488,0.13138217887464768,0.8294431170740673
61,7088,788,0.11117381489841986,7.782343658469881,0.11794907158695069,0.08207979071288424
62,483,483,1.0,7.416644799465937,0.12258472558928699,0.09083263246425567
63,6248,694,0.11107554417413572,1.423433234755107,0.12163603183124487,0.826859229747676
64,1286,1286,1.0,4.13328053331475,0.12652442241221606,0.477039067854695
65,813,7318,9.001230012300123,1.3798713302248,0.120118191286298,0.834252351605579
66,73,659,9.027397260273972,4.543388112961071,0.11297775808960736,0.48669819686668636
67,2895,322,0.11122625215889465,4.500147615694022,0.11441413927350885,0.4851194839466354
68,82,735,8.963414634146341,4.369139416477836,0.1176546541037728,0.4859504132231405
