Client ID,NUM_READS,NUM_WRITES,READ_WRITE_RATIO,Throughput,Latency,Error Rate
0,4831,4832,1.0002069964810598,104.19093027325965,0.009012534850981177,0.06097560975609756
1,8346,927,0.11107117181883537,8.138139914133603,0.12287820196643318,0.0
2,4348,483,0.11108555657773689,8.005939495927615,0.12312605546757499,0.0142602495543672
3,3383,3383,1.0,8.144659355907939,0.12277984336749753,0.0
4,4274,4274,1.0,9.535738716854521,0.104868645177168,0.0
5,63,570,9.047619047619047,8.452202536269326,0.11532183883691098,0.02527646129541864
6,3327,3328,1.0003005710850617,6.386212971580205,0.1547389070662037,0.011804384485666104
7,4542,4542,1.0,7.002346173497515,0.14280927780817246,0.0
8,3594,399,0.11101836393989983,6.686432577982033,0.14331609122187114,0.041726618705035974
9,2165,2164,0.9995381062355658,6.9855595863783035,0.14002343898262481,0.02185792349726776
10,324,2917,9.003086419753087,7.835995704925389,0.12761620062801216,0.0
11,532,59,0.11090225563909774,6.5391833075945,0.1529242954297697,0.0
12,679,679,1.0,6.449613239148671,0.15504805682456657,0.0
13,769,6916,8.993498049414825,6.957822284480794,0.14372313047294538,0.0
14,1198,1198,1.0,8.37681157811413,0.11937716285903732,0.0
15,223,2011,9.01793721973094,7.453878491490236,0.1340326105419899,0.0009372071227741331
16,2329,2330,1.0004293688278232,6.3913123692703095,0.1552714285228958,0.007611798287345386
17,567,5100,8.994708994708995,6.430760414641255,0.15492237192481312,0.0037313432835820895
18,675,6073,8.997037037037037,7.773153958519319,0.1283637085087345,0.0022091310751104565
19,2918,2918,1.0,7.101926252158558,0.1406970353282744,0.00078003120124805
20,2863,2863,1.0,7.205077110807458,0.1381205317890175,0.004830917874396135
21,105,946,9.00952380952381,6.68312976056158,0.1492942445733574,0.0022471910112359553
22,907,8166,9.003307607497243,6.302075273569159,0.1525965503465207,0.0383250532292406
23,505,4546,9.001980198019801,6.872754182908726,0.13347173656165268,0.08268156424581005
24,6493,722,0.11119667334052057,7.37921704023125,0.12467196636129374,0.08001850138760407
25,192,1731,9.015625,5.443946698788651,0.15590961929571362,0.15123634272570444
26,617,5549,8.993517017828202,5.350687017954098,0.1398434825204498,0.2517412935323383
27,966,8697,9.003105590062113,5.892632690623473,0.12629793719330648,0.2557726465364121
28,1304,145,0.1111963190184049,5.060545693211061,0.14848795026401276,0.2485699427977119
29,2463,274,0.11124644742184328,4.831960513643613,0.14053578438071399,0.3209366391184573
30,772,6945,8.996113989637307,5.650339003197308,0.13776595537002959,0.2215756490599821
