Index,Average CPU Usage,Average Memory Usage
0,0.14133995037220842,14.90625
1,0.0072636815920398,14.9296875
2,0.002481012658227848,14.94921875
3,0.017168367346938777,14.95703125
4,0.002868020304568528,14.9609375
5,0.00844059405940594,14.9609375
6,0.011901234567901235,14.9609375
7,0.008521303258145364,14.96484375
8,0.004876237623762376,14.96484375
9,0.009234567901234569,14.96484375
10,0.0019106699751861042,14.96875
11,0.010623441396508728,14.97265625
12,0.007654320987654322,14.98046875
13,0.01082089552238806,14.98828125
14,0.009309480640829686,14.96875
15,0.016592039800995023,14.98046875
16,0.009137931034482759,14.98828125
17,0.00551977157175177,14.919921875
18,0.008519728820172656,14.923828125
19,0.03823251077870639,14.940104166666666
20,0.008414594755621606,14.919270833333334
21,0.008197022404943197,14.921875
22,0.009044520794684064,14.91015625
23,0.008859779489290247,14.91015625
24,0.007779367424029201,14.871875
25,0.010039531382516339,14.8734375
26,0.010654868161712851,14.8796875
27,0.009059874966919514,14.88046875
28,0.009059874966919514,14.88046875
29,0.009136199633452505,14.8859375
30,0.007504916581805135,14.85234375
31,0.008843934006712911,14.85390625
32,0.007627873685321661,14.8546875
33,0.007627873685321661,14.8546875
34,0.007627873685321661,14.8546875
35,0.007627873685321661,14.8546875
36,0.011314989904755653,14.85703125
37,0.009184022048348424,14.828125
38,0.007522389218884737,14.82890625
39,0.008004087792185515,14.8296875
40,0.004544134323496942,14.84375
41,0.010367508106664878,14.84765625
42,0.00760581320618739,14.848307291666666
