Client ID,NUM_READS,NUM_WRITES,READ_WRITE_RATIO,Throughput,Latency,Error Rate
0,4831,4832,1.0002069964810598,93.06020464791084,0.0107457317957064,0.0
1,8346,927,0.11107117181883537,7.242804144489119,0.13550598350996823,0.0009705596894208993
2,4348,483,0.11108555657773689,8.085115885527374,0.12201547743297146,0.0016559718484785758
3,3383,3383,1.0,7.822519561463951,0.1278360497717764,0.0
4,4274,4274,1.0,7.845124227592025,0.12725202605607344,0.0001169864295741694
5,63,570,9.047619047619047,6.792816716018745,0.14465610864226475,0.017377567140600316
6,3327,3328,1.0003005710850617,7.14360386141303,0.138121655354133,0.00135236664162284
7,4542,4542,1.0,6.701370215166433,0.1492232137446781,0.0
8,3594,399,0.11101836393989983,6.404353789859355,0.15614377856254577,0.0
9,2165,2164,0.9995381062355658,6.705016718446365,0.14914205914638082,0.0
10,324,2917,9.003086419753087,6.586968637297998,0.15181490228109,0.0
11,532,59,0.11090225563909774,6.949027253998246,0.14390503353179862,0.0
12,679,679,1.0,8.566567838107181,0.1153179203793084,0.010309278350515464
13,769,6916,8.993498049414825,6.68412065696555,0.14943752495665527,0.00013012361743656474
14,1198,1198,1.0,7.2086407071729255,0.13857880339612624,0.00041736227045075126
15,223,2011,9.01793721973094,7.576354422241086,0.13073375358908207,0.004476275738585497
16,2329,2330,1.0004293688278232,8.980155277871514,0.11127323586396064,0.000214638334406525
17,567,5100,8.994708994708995,6.60828631040207,0.15118333951490665,0.0001764602082230457
18,675,6073,8.997037037037037,7.820454751610253,0.12777564153404405,0.00014819205690574984
19,2918,2918,1.0,6.036890781742786,0.1656481848279042,0.0
20,2863,2863,1.0,6.589411817847206,0.15069322522828435,0.0015717778553964374
21,105,946,9.00952380952381,6.7524510089125815,0.14294417857108513,0.046622264509990484
22,907,8166,9.003307607497243,6.22313225801596,0.15292794396747303,0.007715198941915574
23,505,4546,9.001980198019801,5.381645166099981,0.14356682287248154,0.0805781033458721
24,6493,722,0.11119667334052057,5.9555138985961245,0.13586608643216883,0.050866250866250864
25,192,1731,9.015625,5.16388236019415,0.15200459950267756,0.19448777951118046
26,617,5549,8.993517017828202,6.177702810498619,0.113567453493459,0.11595848199805385
27,966,8697,9.003105590062113,6.2339693993208565,0.12946366335306192,0.04460312532339853
28,1304,145,0.1111963190184049,4.996586249821608,0.13250609909450606,0.5251897860593513
29,2463,274,0.11124644742184328,7.736216655623772,0.11963678159211812,0.06978443551333577
30,772,6945,8.996113989637307,4.953451788212019,0.14172343489661798,0.08410003887521057
31,3175,3176,1.0003149606299213,6.458735581361054,0.14372892516504054,0.02440560541646985
32,438,438,1.0,3.8943207853481945,0.16365201224142045,0.8321917808219178
33,56,505,9.017857142857142,4.355286818488917,0.1301449366202387,2.033868092691622
34,667,668,1.0014992503748126,4.154422405325816,0.12927857938492002,0.9445692883895132
35,531,4774,8.990583804143126,3.9160822161541406,0.13879838284585932,0.22130065975494817
36,218,1960,8.990825688073395,7.726508810835,0.12282512605325786,0.07208448117539026
37,536,536,1.0,6.576551340683415,0.1440553873352731,0.13432835820895522
38,263,2371,9.015209125475286,3.5515359579328316,0.12649289372157846,0.6776765375854215
39,201,1809,9.0,7.287346191624199,0.1292475043597116,0.09303482587064676
40,225,2027,9.008888888888889,3.2621409931564895,0.11153919769580974,1.1660746003552398
41,869,870,1.001150747986191,3.2318255702990095,0.11974560371739454,1.3663024726854514
42,6594,733,0.11116166211707613,8.000483636728154,0.11485712947849928,0.047222601337518766
43,1946,216,0.11099691675231244,5.3895591417923825,0.1136000773258981,0.7756706753006476
44,49,436,8.89795918367347,7.02671688779015,0.13029233401175588,0.7134020618556701
45,3686,410,0.1112316874660879,6.776964475687591,0.13447685269165421,0.08642578125
46,885,7969,9.0045197740113,4.751587895919396,0.12508736182151367,0.19832843912355996
47,514,4626,9.0,4.892453086780353,0.1191983539215304,0.37782101167315174
48,2910,2910,1.0,7.939853495013031,0.11536225816572312,0.06975945017182131
49,602,5422,9.006644518272426,2.7717182446601702,0.11065042443594542,0.6105577689243028
50,59,534,9.05084745762712,4.235293179266769,0.13756616804557464,3.015177065767285
51,3819,3820,1.0002618486514794,2.813265639469208,0.11459050874301896,0.45594973164026703
52,749,6741,9.0,2.7384951431124334,0.10892506277620344,0.5097463284379172
53,7601,844,0.11103802131298514,2.486255889622458,0.12764631784879243,0.37619893428063944
54,2309,256,0.11087050671286271,5.214459475250199,0.10610200490328864,1.01364522417154
55,544,4897,9.001838235294118,4.605094277029233,0.12350829456516829,0.3999264841021871
56,388,3488,8.989690721649485,2.0174423580256824,0.1243363492112659,0.9762641898864809
57,7610,846,0.11116951379763469,5.252867730572337,0.10008703898377465,0.3561967833491012
58,69,626,9.072463768115941,4.690679117966138,0.11628130360878004,3.656115107913669
59,68,608,8.941176470588236,2.7638073427688052,0.1087140926168576,6.233727810650888
60,340,340,1.0,8.212475823058487,0.11170925889524519,0.7220588235294118
61,7088,788,0.11117381489841986,8.389334599717063,0.10947360783484031,0.06335703402742508
62,483,483,1.0,2.3173315819098317,0.11078710502670293,4.744306418219462
63,6248,694,0.11107554417413572,2.1471941911517187,0.1206428308808364,0.6048689138576779
64,1286,1286,1.0,4.581690595920651,0.11754477800286903,1.047045101088647
65,813,7318,9.001230012300123,2.1081518392002265,0.10270066468335498,0.6502275242897553
66,73,659,9.027397260273972,4.437223331854865,0.12114513657370357,3.6174863387978142
67,2895,322,0.11122625215889465,5.1721024779627065,0.10310207698037206,0.9816599316133043
68,82,735,8.963414634146341,5.060297204297152,0.10529667236677781,3.8053855569155446
69,960,107,0.11145833333333334,2.142084814253748,0.0933669846633385,5.76194939081537
70,115,1040,9.043478260869565,9.221613723704058,0.09969347522891567,0.5038961038961038
71,8124,903,0.11115214180206795,4.995254050061042,0.10553926198892519,0.3572615486872715
72,8685,965,0.1111111111111111,8.796885564942484,0.10457198752411777,0.05761658031088083
73,996,8967,9.00301204819277,2.043436141282932,0.09722099090927593,0.6024289872528354
74,3916,3916,1.0,5.133812693986366,0.1040661751272517,0.4209652706843718
75,16,148,9.25,5.2037511521756965,0.10515321625228716,19.51219512195122
76,3593,3593,1.0,9.439181524543155,0.09744060304360556,0.08544391873086557
77,2795,2795,1.0,5.0751395445295495,0.10372922674646758,0.6087656529516995
78,7680,853,0.11106770833333333,9.538172074388045,0.09636656830578577,0.07406539317942107
79,413,3715,8.995157384987893,2.0520721304099774,0.097879237116534,1.4939437984496124
80,2163,2162,0.9995376791493297,8.89978994913556,0.10342168599729146,0.13479768786127166
81,5351,594,0.1110072883573164,5.304831467603051,0.09925078836968626,0.6084104289318756
82,6887,765,0.11107884419921592,2.0120945836357595,0.09351883279399054,0.8626502875065343
83,3539,3540,1.0002825656965244,9.549117546650814,0.09670404506371431,0.08518152281395677
84,7036,782,0.11114269471290505,5.401258330216082,0.09741705281620006,0.4746738296239447
85,5504,612,0.11119186046511628,10.160425896681435,0.09074084782755679,0.10775016350555919
86,857,7718,9.00583430571762,10.631172085448142,0.08683139759928757,0.080932944606414
87,465,4189,9.008602150537634,5.676475588069086,0.09162757027969218,0.8813923506660937
88,3533,3534,1.0002830455703369,2.0496509566813432,0.08860671119009207,1.0253289939153813
89,3840,427,0.11119791666666666,6.292179157411523,0.08681175869921134,0.9660182798218889
90,4659,4658,0.9997853616655935,1.589984425412545,0.09204850235763862,0.7856606203713642
91,2771,308,0.1111512089498376,10.838799574324083,0.0851174429835181,0.2331925949983761
92,1268,141,0.111198738170347,1.909267558789444,0.0870529789652909,5.369056068133428
93,788,88,0.1116751269035533,9.82441608752403,0.09414354852042113,0.7248858447488584
94,1154,128,0.11091854419410745,6.345851181467977,0.08543019347453407,3.327613104524181
95,1362,1362,1.0,9.964742540840275,0.0934973497624332,0.21402349486049926
96,2142,2142,1.0,6.504719477645589,0.08253904049235891,1.0445845004668535
97,2523,2523,1.0,2.118514790570084,0.08011650158484801,1.6393182718985335
98,3411,3410,0.9997068308413954,11.231269371505645,0.08288295812557399,0.09778624835068171
99,895,895,1.0,1.7681038881765885,0.08299586815603596,4.606145251396648
