Client ID,Throughput,Latency
0,29.88176945213054,0.03346522037799542
1,20.846516181994247,0.04796964592403836
2,26.575747111506768,0.03762829303741455
3,16.93995247679373,0.04427403211593628
4,26.99849792029928,0.03703909761765424
5,18.00911446755791,0.04298898481553601
6,23.50050067664448,0.03782425324122111
7,25.151702338800373,0.0377198304885473
8,33.03065317591633,0.03027490842140327
9,22.785600785047162,0.035760075957686814
10,20.5350148891323,0.03975290668253996
11,27.809534408998466,0.03301144037090364
12,22.166326563642645,0.04010086589389377
13,31.208419545535804,0.028990955579848515
14,26.304089091836268,0.03106259136665158
15,27.896191654362372,0.03136628866195679
16,37.88258018101977,0.023733403704582004
17,34.0059081923606,0.025658747729133156
18,36.66442125989665,0.024701341143194236
19,29.865305237842843,0.027057510433775005
20,39.10900588830405,0.02277624506910308
21,38.54267996832583,0.023086887294963256
22,50.2882460337848,0.019607245505272927
23,31.868462841816537,0.025215255362646922
24,55.11725230932009,0.018029744923114776
25,55.26314275919564,0.017656570492368757
26,61.8194915426662,0.0159166177963828
27,54.439480070620206,0.01659137459211452
28,58.52481014556465,0.015706021376330443
