Client ID,Throughput,Latency
0,41.04256609977102,0.024364948272705078
1,0,inf
2,24.729836974145808,0.04043698310852051
3,18.881439098942554,0.026481032371520996
4,40.80141636996829,0.012254476547241211
5,51.1687690618519,0.019543170928955078
6,0,inf
7,0,inf
8,0,inf
9,0,inf
10,0,inf
11,28.35014008442241,0.035273194313049316
12,0,inf
13,28.36461510370526,0.03525519371032715
14,0,inf
15,29.366118688212396,0.03405284881591797
16,23.582053300348587,0.042405128479003906
17,6.2978640766980405,0.15878399213155112
18,0,inf
19,0,inf
20,54.775949433213185,0.018256187438964844
21,0,inf
22,49.055613384638775,0.020385026931762695
23,6.33188827256446,0.1579307715098063
24,0,inf
25,28.881816241229007,0.03462386131286621
26,0,inf
27,25.914120132959333,0.01929450035095215
28,0,inf
