id,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
1,582,583,0.9982847341337907,122.40137221269296,126.28301886792453,72.18949480101537,74.18380977078415,5211.323159625825,5503.237632107891,5.118753117206983,26.9375
2,3250,3249,1.0003077870113881,125.02800861803632,126.10249307479225,72.92088729538155,71.95444232471333,5317.455803945739,5177.441770260497,3.8854755784061696,29.26171875
3,1077,1077,1.0,124.55803156917364,128.93314763231197,71.69158712515134,70.97526394218714,5139.683664523166,5037.488091663129,5.097113402061856,26.88671875
4,2472,2472,1.0,126.31796116504854,124.72046925566343,71.70163933958499,72.0178994462755,5141.125083983922,5186.57784065385,4.853163265306122,28.76953125
5,677,6096,0.11105643044619423,126.49786745406824,126.02444225721784,71.45956132242387,72.37554434258118,5106.468904393258,5238.219418884934,5.980920716112532,30.359375
6,50,453,0.11037527593818984,131.36865342163355,120.95584988962473,71.18415968766753,73.6049776626607,5067.184590439352,5417.69273672078,2.2564556962025315,26.62890625
7,246,2218,0.1109107303877367,127.41929666366096,124.75518485121731,73.47173981362954,72.98997424178862,5398.096551241676,5327.536339816965,4.5623589743589745,28.68359375
8,4776,4776,1.0,125.65829145728644,126.96691792294807,72.27776313140318,72.33522133553691,5224.075043279224,5232.3842456611155,9.341042183622829,29.89453125
9,3550,394,9.01015228426396,125.03045685279187,119.51269035532995,74.04055752814322,70.7274890063299,5482.004159078287,5002.377701140517,2.3994962216624685,26.578125
10,750,6755,0.11102886750555144,125.459955588453,125.26839378238341,72.3632586875055,72.67512866608494,5236.441207874841,5281.674326632002,3.7792071611253197,30.44140625
11,243,2188,0.11106032906764168,127.39259597806216,125.45018281535648,72.38780562579072,71.94179037615862,5239.994403317259,5175.621202527149,3.5784478371501276,28.68359375
12,18,160,0.1125,131.325,129.35625,73.06898179548509,70.223573500337,5339.076100628931,4931.350275157232,1.8352671755725192,26.5078125
13,732,6592,0.11104368932038836,124.18431432038835,124.44144417475728,72.17040037753728,72.13607713379616,5208.566690654033,5203.61362425299,4.832879177377892,30.51953125
14,2182,2183,0.9995419147961521,125.49289967934035,123.90746678882272,72.02835664718928,73.2220650514538,5188.084161294697,5361.470810399332,2.679923273657289,27.3671875
15,7506,834,9.0,124.69544364508393,122.35971223021583,73.35745700214908,72.14366491211756,5381.31649782215,5204.708386951903,4.063299492385787,26.80078125
16,188,189,0.9947089947089947,130.7724867724868,131.55026455026456,70.48665246105853,72.88729176242973,4968.368175166048,5312.557300461556,1.797537688442211,26.49609375
17,2476,2475,1.0004040404040404,125.74222222222222,125.53818181818181,71.82564878139945,70.84060792177628,5158.923822868948,5018.391730726832,3.254478371501272,28.75390625
18,5362,596,8.996644295302014,124.75,125.95973154362416,71.98853491816503,71.19896413132138,5182.349159663866,5069.292493373188,2.6871827411167515,26.92578125
19,5881,653,9.006125574272588,124.8468606431853,120.53445635528331,72.45549391356157,72.65578222899234,5249.798598258158,5278.862691306758,2.488137755102041,26.73046875
20,2966,2965,1.000337268128162,125.34806070826306,125.99055649241147,71.99633275577106,72.56190929145157,5183.471930279714,5265.230680020846,3.6843037974683543,29.125
21,441,3971,0.11105514983631327,124.61420297154369,125.94056912616469,72.13404985407884,73.03715278011002,5203.321148350732,5334.425686225132,4.070569948186528,29.515625
22,2501,2501,1.0,124.50339864054378,125.00239904038385,72.90945404023145,72.08128740694289,5315.788488444622,5195.711994242303,6.281827411167512,28.890625
23,7228,803,9.001245330012454,124.20547945205479,125.51058530510585,71.20028208820113,72.3471530100493,5069.4801694394155,5234.110548659484,3.8915544041450776,26.8125
24,636,5724,0.1111111111111111,125.62788259958072,125.72082459818309,71.84346686059843,72.94285997167296,5161.483730549905,5320.66082084709,4.919898218829517,30.35546875
25,632,5689,0.11109158024257339,126.27438917208649,125.5137985586219,72.94850923587612,72.27443591611397,5321.484999736704,5223.594086992466,5.20609375,30.22265625
26,1236,1236,1.0,126.63106796116504,128.7071197411003,71.20119049515507,72.41657479847791,5069.609527927361,5244.160305543545,6.428453333333334,27.23046875
27,31,278,0.11151079136690648,122.14028776978417,124.22661870503597,72.35775361507666,72.20170110653345,5235.644508220139,5213.085642677194,3.5303504672897197,26.57421875
