Client ID,NUM_READS,NUM_WRITES,READ_WRITE_RATIO,Throughput,Latency,Error Rate
0,103,12,0.11650485436893204,5.729235519395964,0.17454335689544678,0.0
1,53,52,0.9811320754716981,8.521172657687707,0.1173547397960316,0.0
2,4,32,8.0,10.252508594470076,0.09753710428873698,0.0
3,11,99,9.0,7.3209170854897865,0.13659490857805526,0.0
4,31,32,1.032258064516129,9.740328055649675,0.10266594659714472,0.0
5,12,109,9.083333333333334,8.394644682264847,0.11912356482611762,0.0
6,43,42,0.9767441860465116,10.591811840024727,0.09441255331039429,0.0
7,6,53,8.833333333333334,12.534956043722506,0.07977690520109953,0.0
8,89,10,0.11235955056179775,11.156728251929206,0.08963201195001602,0.0
9,59,59,1.0,11.721289393700586,0.08294498920440674,0.00847457627118644
10,74,8,0.10810810810810811,11.090384092087472,0.09016820262460147,0.0
11,75,8,0.10666666666666667,12.584182340090964,0.07946483712447316,0.0
12,9,9,1.0,8.347309962205653,0.11979907353719076,0.0
13,49,5,0.10204081632653061,10.738561395655772,0.09312234322230022,0.0
14,19,168,8.842105263157896,8.115358306510942,0.12322314828634262,0.0
15,53,54,1.0188679245283019,9.241517104898962,0.10820734178697741,0.0
16,3,24,8.0,8.743764274664628,0.11436721857856302,0.0
17,18,18,1.0,9.705004517798738,0.10303962230682373,0.0
18,14,130,9.285714285714286,8.266419718585311,0.12097135568276429,0.0
19,94,94,1.0,9.992706413821857,0.10007298909700833,0.0
20,17,149,8.764705882352942,9.845068114816105,0.10157370049020518,0.0
21,16,144,9.0,8.637613769572477,0.11577271532129359,0.0
22,29,3,0.10344827586206896,10.444330821076397,0.09574572245279948,0.0
23,49,5,0.10204081632653061,10.650571272303395,0.09389167720988645,0.0
24,1,14,14.0,8.22371084931292,0.12159960610525948,0.0
25,99,99,1.0,8.668343470021549,0.11536229539800573,0.0
26,44,5,0.11363636363636363,9.806580029270489,0.10197234887343187,0.0
27,19,20,1.0526315789473684,10.827453334804881,0.09235782127875786,0.0
28,27,3,0.1111111111111111,8.686699374660298,0.1151185227978614,0.0
