,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
121,12,104,0.1153846153846153,47.75961538461539,48.11538461538461,28.760447998646335,28.820167782403992,827.1633690828402,830.6020710059171,3.618934837092732,41.67578125
122,86,9,9.555555555555555,34.888888888888886,68.33333333333333,24.937452620704395,16.505891204186597,621.8765432098764,272.44444444444446,0.7664588528678304,40.99609375
123,92,10,9.2,51.4,52.3,30.193376757163158,28.48174854182938,911.6400000000002,811.2099999999999,0.9799876084262702,41.1484375
124,82,9,9.11111111111111,59.22222222222222,64.22222222222223,28.310884352833384,24.86755037651266,801.5061728395061,618.3950617283949,0.7436567164179104,41.58203125
125,20,21,0.9523809523809524,54.142857142857146,61.66666666666666,28.482719429900808,27.60319742233693,811.265306122449,761.936507936508,1.6879775280898877,41.39453125
126,30,31,0.967741935483871,56.16129032258065,57.064516129032256,31.728786943652807,26.633638061270783,1006.7159209157128,709.3506763787717,2.2796741854636595,40.87890625
127,24,3,8.0,27.666666666666668,34.0,20.17148702720969,44.56455991031439,406.8888888888888,1986.0,0.189740099009901,40.71484375
128,38,39,0.9743589743589745,50.97435897435897,48.0,29.623697357046886,26.09253749294064,877.5634451019067,680.8205128205128,2.704630788485607,40.9296875
129,5,47,0.1063829787234042,51.5531914893617,55.191489361702125,30.115952166929382,24.892653191015714,906.9705749207784,619.6441828881848,2.879242424242424,41.16796875
130,36,35,1.0285714285714285,52.68571428571428,50.42857142857143,25.689098775908185,29.363033819788456,659.9297959183674,862.1877551020406,2.064638403990025,41.15234375
131,122,14,8.714285714285714,54.142857142857146,46.21428571428572,33.06888296281208,28.928924160107037,1093.5510204081631,836.8826530612245,0.8260049627791564,41.296875
132,9,85,0.1058823529411764,49.11764705882353,48.14117647058824,28.701470249164384,27.490812557771104,823.7743944636683,755.7447750865055,3.0354830614805524,41.68359375
133,57,6,9.5,67.66666666666667,44.833333333333336,23.221158933658376,30.45990078046144,539.2222222222222,927.8055555555557,0.6463420724094882,41.125
134,7,60,0.1166666666666666,45.86666666666667,50.13333333333333,26.08477631791301,30.78931993763783,680.4155555555557,947.9822222222224,2.887452948557089,41.62890625
135,28,27,1.037037037037037,43.5925925925926,40.18518518518518,26.748844570767098,25.66744160018758,715.5006858710565,658.81755829904,1.433970223325062,41.0234375
136,6,50,0.12,43.08,56.46,29.34950766196939,25.689071606424395,861.3936,659.9284,2.6803522012578616,41.40625
137,96,11,8.727272727272727,50.72727272727273,43.54545454545455,26.20579710012448,21.449151864408982,686.7438016528927,460.0661157024793,2.783471177944862,40.9453125
138,89,10,8.9,56.4,39.3,27.408757724493828,30.548486050866742,751.2400000000001,933.21,0.7881647940074907,40.69921875
139,84,9,9.333333333333334,32.77777777777778,55.22222222222222,20.291091519721856,36.50503094027749,411.7283950617282,1332.617283950617,0.6784682440846824,41.41015625
140,50,6,8.333333333333334,50.333333333333336,30.5,35.01269610996687,32.62795325075315,1225.888888888889,1064.583333333333,0.5882111801242237,41.6953125
141,9,77,0.1168831168831168,49.0,53.63636363636363,26.941495055845653,30.006453457790077,725.8441558441558,900.3872491145219,3.188425692695214,41.8828125
142,37,37,1.0,54.810810810810814,56.4054054054054,31.257291333459264,31.59837445310897,977.0182615047476,998.4572680788896,2.930890840652447,41.0625
143,58,58,1.0,50.01724137931034,49.51724137931034,29.944483908191557,28.19405744387693,896.6721165279429,794.9048751486323,2.7722767295597484,41.4375
144,68,8,8.5,26.375,35.375,19.22197635520344,26.7485396797657,369.48437500000006,715.4843750000001,0.7985286783042395,41.19140625
145,12,109,0.110091743119266,48.53211009174312,49.57798165137615,29.90430265974884,28.958462367937624,894.2673175658613,838.5925427152596,3.147884856070088,41.44140625
146,91,10,9.1,50.1,47.4,25.645467435786777,31.746495869623157,657.69,1007.84,1.103345771144279,41.3046875
147,34,4,8.5,53.0,28.0,23.50531854708632,12.747548783981962,552.5000000000001,162.5,0.2410114702815432,40.51171875
148,13,118,0.1101694915254237,49.03389830508475,49.55084745762712,28.404145138947666,27.73408765266821,806.7954610744043,769.1796179258836,6.878761682242991,41.57421875
149,58,58,1.0,56.5,49.94827586206897,26.93238660564381,30.65290806578419,725.3534482758621,939.6007728894174,2.68681592039801,41.4609375
150,123,14,8.785714285714286,47.785714285714285,39.92857142857143,27.407450945809224,27.703698272237656,751.1683673469389,767.4948979591836,1.3662921348314605,41.34765625
151,125,14,8.928571428571429,58.0,58.92857142857143,21.43428495258406,26.641708133017637,459.4285714285715,709.780612244898,0.8565006226650062,41.12109375
152,7,61,0.1147540983606557,51.18032786885246,52.540983606557376,27.27306255036476,26.729104767190933,743.8199408761085,714.445041655469,0.1205432098765432,40.76953125
153,7,67,0.1044776119402985,53.70149253731344,48.16417910447761,27.87981398114196,29.24349501078033,777.2840276230786,855.182000445534,3.224540880503145,41.05078125
154,2,18,0.1111111111111111,46.27777777777778,42.27777777777778,28.70502386450373,25.83882856726278,823.9783950617284,667.6450617283951,0.9765,41.1796875
155,39,39,1.0,49.66666666666666,50.282051282051285,31.84121932123907,28.981823408818403,1013.8632478632484,839.9460880999344,2.9681761006289307,41.421875
156,70,71,0.9859154929577464,47.84507042253521,52.6056338028169,25.53740580829572,27.10723559829353,652.1590954175758,734.8022217813923,3.1412594458438288,41.32421875
157,51,6,8.5,65.83333333333333,43.16666666666666,29.04833137299896,19.785656982324905,843.8055555555555,391.4722222222223,0.5588888888888889,40.97265625
158,9,9,1.0,48.66666666666666,51.333333333333336,30.86529874578677,40.603776507446526,952.6666666666666,1648.6666666666663,0.7392336683417086,40.5390625
159,21,2,10.5,31.0,72.0,13.0,12.0,169.0,144.0,0.2906939281288723,40.89453125
160,57,6,9.5,51.66666666666666,37.333333333333336,24.328766694776963,26.649994788408915,591.8888888888888,710.2222222222223,0.5651186017478153,40.69921875
161,46,47,0.9787234042553192,42.255319148936174,51.95744680851064,29.02710991477668,29.94246784610873,842.5731100045267,896.5513807152554,2.689275,41.56640625
162,58,58,1.0,60.37931034482759,49.51724137931034,28.436758379087134,31.816413774865644,808.6492271105825,1012.2841854934604,3.1367758186397983,41.1875
163,5,49,0.1020408163265306,58.265306122448976,53.30612244897959,26.22101938444328,28.189739109950043,687.5418575593503,794.661391087047,2.889671717171717,41.45703125
