id,num_read,num_write,read_write_ratio,mean_key_size,mean_value_size,std_key_size,std_value_size,var_key_size,var_value_size,max_cpu_usage,max_memory_usage
261,90,90,1.0,50.388888888888886,46.855555555555554,28.71495717273662,28.373916469223445,824.5487654320983,805.0791358024695,3.114552332912989,41.296875
262,113,113,1.0,47.309734513274336,51.14159292035398,28.85793081158067,27.45547231963899,832.780170725977,753.8029602944628,2.980553459119497,41.3828125
263,24,220,0.109090909090909,49.50909090909091,52.72272727272728,29.68095362794907,29.447494596595615,880.959008264463,867.1549380165281,3.2619875,41.43359375
264,101,11,9.181818181818182,55.45454545454545,62.09090909090909,34.352090412411286,25.917542481193365,1180.0661157024797,671.7190082644628,0.7506840796019901,41.25390625
265,21,191,0.1099476439790576,50.56544502617801,54.261780104712045,28.289539992185997,27.99541015061905,800.2980729694907,783.7429895013842,4.045286783042394,41.765625
267,94,93,1.010752688172043,47.89247311827957,51.81720430107527,27.562036523532612,28.68402059240228,759.6658573245459,822.773037345358,2.97227959697733,41.30078125
268,108,109,0.9908256880733946,48.86238532110092,47.018348623853214,29.067295500351225,28.015389496651714,844.9076677047386,784.8620486491031,2.7364366373902134,41.3984375
272,21,188,0.1117021276595744,48.39893617021277,48.68617021276596,30.56638048394907,29.62931304832611,934.3036158895428,877.8961917157079,3.237456140350877,41.7578125
273,80,9,8.88888888888889,44.55555555555556,66.22222222222223,27.3987473805773,22.89482123769856,750.6913580246916,524.172839506173,1.3708450704225352,40.53515625
274,18,162,0.1111111111111111,51.91975308641975,51.39506172839506,28.97316306026685,28.57270518845413,839.4441777168115,816.3994817863133,2.089838308457712,41.68359375
275,14,127,0.1102362204724409,51.25196850393701,49.31496062992126,28.48565559830333,29.086268857006598,811.43257486515,846.0110360220717,2.382534678436318,41.30859375
276,22,200,0.11,51.665,51.72,29.0250370370134,28.157443065733087,842.4527749999997,792.8416000000003,3.471319796954315,41.94140625
277,134,15,8.933333333333334,58.46666666666667,55.6,26.41935317569721,22.35113718210627,697.9822222222223,499.57333333333344,0.9202475247524752,41.3359375
278,82,82,1.0,48.609756097560975,54.13414634146341,27.49978097365592,30.027126839284623,756.2379535990482,901.6283462224868,2.81270337922403,41.26953125
281,20,179,0.1117318435754189,50.960893854748605,50.58659217877095,29.227935502292382,27.62734939793301,854.2722137261635,763.2704347554694,3.0809887359199,41.73828125
282,20,183,0.1092896174863388,49.885245901639344,52.80874316939891,30.85313263261192,29.9369379099774,951.9157932455424,896.220251425842,3.754749373433584,41.29296875
284,139,15,9.266666666666667,57.266666666666666,48.2,27.910491854418392,27.802158189608228,778.9955555555555,772.9599999999999,1.014727047146402,41.28515625
286,129,14,9.214285714285714,53.5,61.142857142857146,31.511335828782087,26.310935105435703,992.9642857142856,692.2653061224489,1.2018227215980024,41.04296875
287,77,77,1.0,45.36363636363637,54.71428571428572,29.439750974256054,27.213851106050083,866.6989374262103,740.5936920222633,3.1647528517110266,41.66015625
